TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server1_test_0_45,2,req_4301339,GPT-4
task_Server1_test_0_45,3,req_2248339,GPT-4v
task_Server1_test_0_45,4,req_3405880,GPT-4v
task_Server1_test_0_46,0,req_3181686,ChatGPT
task_Server1_test_0_46,1,req_4582051,ChatGPT
task_Server1_test_0_46,2,req_5075126,GPT-4
task_Server1_test_0_46,3,req_1528645,GPT-4v
task_Server1_test_0_46,4,req_4131910,ChatGPT
task_Server1_test_0_47,0,req_5079041,GPT-4
task_Server1_test_0_47,1,req_3494097,ChatGPT
task_Server1_test_0_47,2,req_2521425,ChatGPT
task_Server1_test_0_47,3,req_5280190,ChatGPT
task_Server1_test_0_47,4,req_2578185,ChatGPT
task_Server1_test_0_48,0,req_3970869,ChatGPT
task_Server1_test_0_48,1,req_5010881,ChatGPT
task_Server1_test_0_48,2,req_1477799,ChatGPT
task_Server1_test_0_48,3,req_4705479,ChatGPT
task_Server1_test_0_48,4,req_4939848,GPT-4
task_Server1_test_0_49,0,req_4361402,ChatGPT
task_Server1_test_0_49,1,req_4225275,ChatGPT
task_Server1_test_0_49,2,req_2297820,ChatGPT
task_Server1_test_0_49,3,req_2177062,ChatGPT
task_Server1_test_0_49,4,req_2763365,GPT-4
task_Server1_test_0_50,0,req_4404872,ChatGPT
task_Server1_test_0_50,1,req_4992777,ChatGPT
task_Server1_test_0_50,2,req_2539402,ChatGPT
task_Server1_test_0_50,3,req_3712705,ChatGPT
task_Server1_test_0_50,4,req_4383935,GPT-4
task_Server1_test_0_51,0,req_2306279,ChatGPT
task_Server1_test_0_51,1,req_1840155,ChatGPT
task_Server1_test_0_51,2,req_3811799,ChatGPT
task_Server1_test_0_51,3,req_5270197,GPT-4
task_Server1_test_0_51,4,req_3889357,GPT-4v
task_Server1_test_0_52,0,req_4645801,ChatGPT
task_Server1_test_0_52,1,req_3362708,GPT-4
task_Server1_test_0_52,2,req_4790509,GPT-4v
task_Server1_test_0_52,3,req_4307630,ChatGPT
task_Server1_test_0_52,4,req_4873374,GPT-4v
task_Server1_test_0_53,0,req_2466150,ChatGPT
task_Server1_test_0_53,1,req_2831090,ChatGPT
task_Server1_test_0_53,2,req_4464665,ChatGPT
task_Server1_test_0_53,3,req_3558834,ChatGPT
task_Server1_test_0_53,4,req_4250512,GPT-4
task_Server1_test_0_54,0,req_1704239,ChatGPT
task_Server1_test_0_54,1,req_4852386,GPT-4
task_Server1_test_0_54,2,req_5139026,ChatGPT
task_Server1_test_0_54,3,req_3732028,GPT-4v
task_Server1_test_0_54,4,req_4846602,ChatGPT
task_Server1_test_0_55,0,req_3865527,ChatGPT
task_Server1_test_0_55,1,req_4032367,ChatGPT
task_Server1_test_0_55,2,req_4325543,ChatGPT
task_Server1_test_0_55,3,req_3578926,GPT-4
task_Server1_test_0_55,4,req_3210536,ChatGPT
task_Server1_test_0_56,0,req_2752828,ChatGPT
task_Server1_test_0_56,1,req_3975360,ChatGPT
task_Server1_test_0_56,2,req_3125142,ChatGPT
task_Server1_test_0_56,3,req_3860046,ChatGPT
task_Server1_test_0_56,4,req_2100369,GPT-4
task_Server1_test_0_57,0,req_2507254,ChatGPT
task_Server1_test_0_57,1,req_4026754,ChatGPT
task_Server1_test_0_57,2,req_5013701,ChatGPT
task_Server1_test_0_57,3,req_5098264,GPT-4
task_Server1_test_0_57,4,req_4351828,GPT-4v
task_Server1_test_0_58,0,req_5187654,ChatGPT
task_Server1_test_0_58,1,req_5192443,GPT-4
task_Server1_test_0_58,2,req_4392234,ChatGPT
task_Server1_test_0_58,3,req_3045689,GPT-4v
task_Server1_test_0_58,4,req_3674914,ChatGPT
task_Server1_test_0_59,0,req_1886603,ChatGPT
task_Server1_test_0_59,1,req_4760558,ChatGPT
task_Server1_test_0_59,2,req_3469738,ChatGPT
task_Server1_test_0_59,3,req_4948695,ChatGPT
task_Server1_test_0_59,4,req_1886973,GPT-4
task_Server1_test_0_60,0,req_4131087,ChatGPT
task_Server1_test_0_60,1,req_1852410,ChatGPT
task_Server1_test_0_60,2,req_1990770,GPT-4
task_Server1_test_0_60,3,req_4872608,ChatGPT
task_Server1_test_0_60,4,req_4957693,ChatGPT
task_Server1_test_0_61,0,req_5276166,GPT-4
task_Server1_test_0_61,1,req_1763699,ChatGPT
task_Server1_test_0_61,2,req_2656999,ChatGPT
task_Server1_test_0_61,3,req_1942342,GPT-4v
task_Server1_test_0_61,4,req_4902600,ChatGPT
task_Server1_test_0_62,0,req_4949015,ChatGPT
task_Server1_test_0_62,1,req_3835200,ChatGPT
task_Server1_test_0_62,2,req_3335124,ChatGPT
task_Server1_test_0_62,3,req_5279298,GPT-4
task_Server1_test_0_62,4,req_2479380,GPT-4v
task_Server1_test_0_63,0,req_5068734,GPT-4
task_Server1_test_0_63,1,req_2899073,GPT-4v
task_Server1_test_0_63,2,req_4736152,GPT-4v
task_Server1_test_0_63,3,req_1977267,GPT-4v
task_Server1_test_0_63,4,req_4081625,GPT-4v
task_Server1_test_0_64,0,req_1532458,ChatGPT
task_Server1_test_0_64,1,req_3056179,ChatGPT
task_Server1_test_0_64,2,req_4346117,ChatGPT
task_Server1_test_0_64,3,req_4476442,ChatGPT
task_Server1_test_0_64,4,req_4302291,GPT-4
task_Server1_test_0_65,0,req_3884354,ChatGPT
task_Server1_test_0_65,1,req_2803458,ChatGPT
task_Server1_test_0_65,2,req_4945544,GPT-4
task_Server1_test_0_65,3,req_4220836,GPT-4v
task_Server1_test_0_65,4,req_2407830,ChatGPT
task_Server1_test_0_66,0,req_3390343,ChatGPT
task_Server1_test_0_66,1,req_3637674,ChatGPT
task_Server1_test_0_66,2,req_5029341,ChatGPT
task_Server1_test_0_66,3,req_4285585,ChatGPT
task_Server1_test_0_66,4,req_2856483,GPT-4
task_Server1_test_0_67,0,req_4517792,ChatGPT
task_Server1_test_0_67,1,req_1869985,ChatGPT
task_Server1_test_0_67,2,req_5129740,GPT-4
task_Server1_test_0_67,3,req_3728610,ChatGPT
task_Server1_test_0_67,4,req_2402929,GPT-4v
task_Server1_test_0_68,0,req_4429186,ChatGPT
task_Server1_test_0_68,1,req_4424408,ChatGPT
task_Server1_test_0_68,2,req_5242588,GPT-4
task_Server1_test_0_68,3,req_2405457,ChatGPT
task_Server1_test_0_68,4,req_2381723,ChatGPT
task_Server1_test_0_69,0,req_2805506,ChatGPT
task_Server1_test_0_69,1,req_3353358,ChatGPT
task_Server1_test_0_69,2,req_4830368,ChatGPT
task_Server1_test_0_69,3,req_4607347,ChatGPT
task_Server1_test_0_69,4,req_1942068,GPT-4
task_Server1_test_0_70,0,req_2097325,ChatGPT
task_Server1_test_0_70,1,req_2959797,ChatGPT
task_Server1_test_0_70,2,req_5018379,ChatGPT
task_Server1_test_0_70,3,req_2054571,GPT-4
task_Server1_test_0_70,4,req_1998401,ChatGPT
task_Server1_test_0_71,0,req_4944689,GPT-4
task_Server1_test_0_71,1,req_3371112,ChatGPT
task_Server1_test_0_71,2,req_4231239,ChatGPT
task_Server1_test_0_71,3,req_5169724,GPT-4v
task_Server1_test_0_71,4,req_1897041,GPT-4v
task_Server1_test_0_72,0,req_2547402,ChatGPT
task_Server1_test_0_72,1,req_5205467,GPT-4
task_Server1_test_0_72,2,req_3644653,GPT-4v
task_Server1_test_0_72,3,req_5151463,ChatGPT
task_Server1_test_0_72,4,req_2022318,GPT-4v
task_Server1_test_0_73,0,req_1633693,ChatGPT
task_Server1_test_0_73,1,req_3065941,ChatGPT
task_Server1_test_0_73,2,req_4301496,GPT-4
task_Server1_test_0_73,3,req_2441668,ChatGPT
task_Server1_test_0_73,4,req_3520961,GPT-4v
task_Server1_test_0_74,0,req_2964992,GPT-4
task_Server1_test_0_74,1,req_3263631,ChatGPT
task_Server1_test_0_74,2,req_1492135,ChatGPT
task_Server1_test_0_74,3,req_4234621,GPT-4v
task_Server1_test_0_74,4,req_1538292,GPT-4v
task_Server1_test_0_75,0,req_5075383,GPT-4
task_Server1_test_0_75,1,req_1463768,GPT-4v
task_Server1_test_0_75,2,req_4707480,GPT-4v
task_Server1_test_0_75,3,req_2403169,GPT-4v
task_Server1_test_0_75,4,req_1893214,GPT-4v
task_Server1_test_0_76,0,req_4096226,ChatGPT
task_Server1_test_0_76,1,req_1782286,ChatGPT
task_Server1_test_0_76,2,req_4042660,ChatGPT
task_Server1_test_0_76,3,req_5073580,GPT-4
task_Server1_test_0_76,4,req_4263522,ChatGPT
task_Server1_test_0_77,0,req_3718975,ChatGPT
task_Server1_test_0_77,1,req_3129042,ChatGPT
task_Server1_test_0_77,2,req_4384017,GPT-4
task_Server1_test_0_77,3,req_2833845,ChatGPT
task_Server1_test_0_77,4,req_3491653,GPT-4v
task_Server1_test_0_78,0,req_3378312,ChatGPT
task_Server1_test_0_78,1,req_4661201,ChatGPT
task_Server1_test_0_78,2,req_4953196,ChatGPT
task_Server1_test_0_78,3,req_2818676,GPT-4
task_Server1_test_0_78,4,req_3869653,GPT-4v
task_Server1_test_0_79,0,req_1932777,GPT-4
task_Server1_test_0_79,1,req_3894725,GPT-4v
task_Server1_test_0_79,2,req_3223164,ChatGPT
task_Server1_test_0_79,3,req_2767410,ChatGPT
task_Server1_test_0_79,4,req_3101977,GPT-4v
task_Server1_test_0_80,0,req_3158487,ChatGPT
task_Server1_test_0_80,1,req_2028834,ChatGPT
task_Server1_test_0_80,2,req_2446427,ChatGPT
task_Server1_test_0_80,3,req_2195159,GPT-4
task_Server1_test_0_80,4,req_1978798,ChatGPT
task_Server1_test_0_81,0,req_3059409,ChatGPT
task_Server1_test_0_81,1,req_2991628,ChatGPT
task_Server1_test_0_81,2,req_2564108,ChatGPT
task_Server1_test_0_81,3,req_5270410,GPT-4
task_Server1_test_0_81,4,req_3840952,GPT-4v
task_Server1_test_0_82,0,req_1926392,ChatGPT
task_Server1_test_0_82,1,req_5226573,ChatGPT
task_Server1_test_0_82,2,req_1464173,ChatGPT
task_Server1_test_0_82,3,req_1976434,ChatGPT
task_Server1_test_0_82,4,req_5086373,GPT-4
task_Server1_test_0_83,0,req_4290617,ChatGPT
task_Server1_test_0_83,1,req_4390786,ChatGPT
task_Server1_test_0_83,2,req_2865578,ChatGPT
task_Server1_test_0_83,3,req_3170020,ChatGPT
task_Server1_test_0_83,4,req_3646717,GPT-4
task_Server1_test_0_84,0,req_4508151,ChatGPT
task_Server1_test_0_84,1,req_4609063,ChatGPT
task_Server1_test_0_84,2,req_4986058,GPT-4
task_Server1_test_0_84,3,req_2506901,ChatGPT
task_Server1_test_0_84,4,req_4995801,GPT-4v
task_Server1_test_0_85,0,req_2769026,ChatGPT
task_Server1_test_0_85,1,req_3518541,GPT-4
task_Server1_test_0_85,2,req_4154457,GPT-4v
task_Server1_test_0_85,3,req_4403992,GPT-4v
task_Server1_test_0_85,4,req_1534238,ChatGPT
task_Server1_test_0_86,0,req_2038432,ChatGPT
task_Server1_test_0_86,1,req_3803000,ChatGPT
task_Server1_test_0_86,2,req_4049889,ChatGPT
task_Server1_test_0_86,3,req_4484124,ChatGPT
task_Server1_test_0_86,4,req_1998985,GPT-4
task_Server1_test_0_87,0,req_4559524,GPT-4
task_Server1_test_0_87,1,req_2363952,GPT-4v
task_Server1_test_0_87,2,req_2198654,ChatGPT
task_Server1_test_0_87,3,req_2864134,GPT-4v
task_Server1_test_0_87,4,req_5146661,GPT-4v
task_Server1_test_0_88,0,req_4848847,ChatGPT
task_Server1_test_0_88,1,req_5278392,GPT-4
task_Server1_test_0_88,2,req_4577010,ChatGPT
task_Server1_test_0_88,3,req_3523062,ChatGPT
task_Server1_test_0_88,4,req_3952902,GPT-4v
task_Server1_test_0_89,0,req_1526061,ChatGPT
task_Server1_test_0_89,1,req_3001710,ChatGPT
task_Server1_test_0_89,2,req_5217684,GPT-4
task_Server1_test_0_89,3,req_2491499,ChatGPT
task_Server1_test_0_89,4,req_1912279,GPT-4v
task_Server1_test_0_90,0,req_3029109,ChatGPT
task_Server1_test_0_90,1,req_2682849,ChatGPT
task_Server1_test_0_90,2,req_4843198,ChatGPT
task_Server1_test_0_90,3,req_4968383,GPT-4
task_Server1_test_0_90,4,req_4090613,ChatGPT
task_Server1_test_0_91,0,req_3596032,ChatGPT
task_Server1_test_0_91,1,req_4494899,ChatGPT
task_Server1_test_0_91,2,req_5147730,ChatGPT
task_Server1_test_0_91,3,req_2939844,ChatGPT
task_Server1_test_0_91,4,req_3531848,GPT-4
task_Server1_test_0_92,0,req_2040153,GPT-4
task_Server1_test_0_92,1,req_1499202,GPT-4v
task_Server1_test_0_92,2,req_2507037,GPT-4v
task_Server1_test_0_92,3,req_3498721,ChatGPT
task_Server1_test_0_92,4,req_2666487,ChatGPT
task_Server1_test_0_93,0,req_4111350,ChatGPT
task_Server1_test_0_93,1,req_1987027,GPT-4
task_Server1_test_0_93,2,req_1665678,GPT-4v
task_Server1_test_0_93,3,req_2623950,GPT-4v
task_Server1_test_0_93,4,req_4180477,GPT-4v
task_Server1_test_0_94,0,req_5002933,ChatGPT
task_Server1_test_0_94,1,req_4091355,ChatGPT
task_Server1_test_0_94,2,req_5071084,GPT-4
task_Server1_test_0_94,3,req_2925442,GPT-4v
task_Server1_test_0_94,4,req_3398146,ChatGPT
task_Server1_test_0_95,0,req_5269408,ChatGPT
task_Server1_test_0_95,1,req_2004560,GPT-4
task_Server1_test_0_95,2,req_3924457,ChatGPT
task_Server1_test_0_95,3,req_3290912,ChatGPT
task_Server1_test_0_95,4,req_3926870,ChatGPT
task_Server1_test_0_96,0,req_4248547,ChatGPT
task_Server1_test_0_96,1,req_2739537,GPT-4
task_Server1_test_0_96,2,req_2860837,GPT-4v
task_Server1_test_0_96,3,req_5054934,ChatGPT
task_Server1_test_0_96,4,req_3171069,ChatGPT
task_Server1_test_0_97,0,req_1531432,ChatGPT
task_Server1_test_0_97,1,req_1526343,ChatGPT
task_Server1_test_0_97,2,req_3190810,ChatGPT
task_Server1_test_0_97,3,req_3745996,GPT-4
task_Server1_test_0_97,4,req_4746755,ChatGPT
task_Server1_test_0_98,0,req_4032682,ChatGPT
task_Server1_test_0_98,1,req_4772662,ChatGPT
task_Server1_test_0_98,2,req_4970220,GPT-4
task_Server1_test_0_98,3,req_1726058,ChatGPT
task_Server1_test_0_98,4,req_3224782,GPT-4v
task_Server1_test_0_99,0,req_4677048,ChatGPT
task_Server1_test_0_99,1,req_1702558,ChatGPT
task_Server1_test_0_99,2,req_3169640,ChatGPT
task_Server1_test_0_99,3,req_3569938,GPT-4
task_Server1_test_0_99,4,req_2969490,ChatGPT
task_Server1_test_0_100,0,req_2849942,ChatGPT
task_Server1_test_0_100,1,req_2571156,ChatGPT
task_Server1_test_0_100,2,req_5174450,ChatGPT
task_Server1_test_0_100,3,req_3506944,ChatGPT
task_Server1_test_0_100,4,req_2769500,GPT-4
task_Server1_test_0_101,0,req_1846484,ChatGPT
task_Server1_test_0_101,1,req_5228331,GPT-4
task_Server1_test_0_101,2,req_1808167,ChatGPT
task_Server1_test_0_101,3,req_2567023,GPT-4v
task_Server1_test_0_101,4,req_2794713,ChatGPT
task_Server1_test_0_102,0,req_3390246,ChatGPT
task_Server1_test_0_102,1,req_5109512,ChatGPT
task_Server1_test_0_102,2,req_3641717,GPT-4
task_Server1_test_0_102,3,req_1954339,GPT-4v
task_Server1_test_0_102,4,req_2834638,ChatGPT
task_Server1_test_0_103,0,req_2687264,GPT-4
task_Server1_test_0_103,1,req_3069946,ChatGPT
task_Server1_test_0_103,2,req_4461676,GPT-4v
task_Server1_test_0_103,3,req_1816398,GPT-4v
task_Server1_test_0_103,4,req_3986107,ChatGPT
