traffic_pattern,ca2,cs2,rho,T_q_est_ms,T_q_obs_ms,MAE_ms,MAPE_pct,util_bin
Poisson,1.0,1.0,0.3586,215.41,205.76,9.65,4.48,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.36131,217.96,196.25,21.71,9.96,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.36626,222.68,227.38,4.7,2.11,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.37212,228.36,198.99,29.37,12.86,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.37442,230.61,210.84,19.77,8.57,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.38051,236.66,238.0,1.34,0.56,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.39263,249.08,268.34,19.27,7.74,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.39621,252.84,264.89,12.05,4.77,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.399,255.79,234.6,21.19,8.29,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.41469,272.99,322.08,49.09,17.98,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.42615,286.13,268.1,18.04,6.3,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.42793,288.22,306.67,18.45,6.4,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.43133,292.25,278.58,13.67,4.68,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.46004,328.27,321.47,6.8,2.07,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.47379,346.92,385.73,38.81,11.19,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.48002,355.69,319.0,36.69,10.31,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.48668,365.3,321.92,43.38,11.87,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.49947,384.49,464.04,79.55,20.69,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.50189,388.22,427.16,38.95,10.03,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.51563,410.17,388.28,21.89,5.34,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.52106,419.18,404.06,15.12,3.61,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.54378,459.25,444.97,14.28,3.11,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.5521,474.94,495.87,20.93,4.41,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.57371,518.54,524.54,6.01,1.16,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.57733,526.29,514.7,11.59,2.2,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.58047,533.11,590.3,57.19,10.73,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.58487,542.85,531.16,11.69,2.15,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.58722,548.13,520.83,27.3,4.98,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.59141,557.69,503.27,54.42,9.76,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.5924,559.98,455.08,104.9,18.73,Medium (0.3≤ρ<0.6)
Poisson,1.0,1.0,0.60099,580.35,739.27,158.92,27.38,High (ρ≥0.6)
Poisson,1.0,1.0,0.61144,606.31,606.63,0.32,0.05,High (ρ≥0.6)
Poisson,1.0,1.0,0.61333,611.15,612.62,1.47,0.24,High (ρ≥0.6)
Poisson,1.0,1.0,0.61342,611.39,639.71,28.33,4.63,High (ρ≥0.6)
Poisson,1.0,1.0,0.62086,630.94,593.39,37.55,5.95,High (ρ≥0.6)
Poisson,1.0,1.0,0.62537,643.17,712.29,69.12,10.75,High (ρ≥0.6)
Poisson,1.0,1.0,0.63577,672.54,681.24,8.69,1.29,High (ρ≥0.6)
Poisson,1.0,1.0,0.64884,711.93,591.08,120.85,16.97,High (ρ≥0.6)
Poisson,1.0,1.0,0.65057,717.35,823.78,106.43,14.84,High (ρ≥0.6)
Poisson,1.0,1.0,0.65598,734.68,691.86,42.83,5.83,High (ρ≥0.6)
Poisson,1.0,1.0,0.65853,743.07,625.12,117.95,15.87,High (ρ≥0.6)
Poisson,1.0,1.0,0.65956,746.48,934.88,188.4,25.24,High (ρ≥0.6)
Poisson,1.0,1.0,0.66422,762.16,675.83,86.33,11.33,High (ρ≥0.6)
Poisson,1.0,1.0,0.66452,763.22,557.23,205.99,26.99,High (ρ≥0.6)
Poisson,1.0,1.0,0.66996,782.14,724.43,57.71,7.38,High (ρ≥0.6)
Poisson,1.0,1.0,0.685,837.87,1033.59,195.72,23.36,High (ρ≥0.6)
Poisson,1.0,1.0,0.69769,889.2,810.82,78.38,8.81,High (ρ≥0.6)
Poisson,1.0,1.0,0.71219,953.45,744.25,209.19,21.94,High (ρ≥0.6)
Poisson,1.0,1.0,0.71476,965.49,849.11,116.38,12.05,High (ρ≥0.6)
Poisson,1.0,1.0,0.72723,1027.27,825.94,201.33,19.6,High (ρ≥0.6)
Poisson,1.0,1.0,0.73122,1048.22,720.39,327.83,31.28,High (ρ≥0.6)
Poisson,1.0,1.0,0.73133,1048.8,1002.28,46.51,4.43,High (ρ≥0.6)
Poisson,1.0,1.0,0.73883,1089.98,946.55,143.42,13.16,High (ρ≥0.6)
Poisson,1.0,1.0,0.739,1090.97,1153.57,62.6,5.74,High (ρ≥0.6)
Poisson,1.0,1.0,0.7444,1122.11,948.02,174.09,15.51,High (ρ≥0.6)
Poisson,1.0,1.0,0.74678,1136.32,911.92,224.4,19.75,High (ρ≥0.6)
Poisson,1.0,1.0,0.74917,1150.82,1128.67,22.15,1.92,High (ρ≥0.6)
Poisson,1.0,1.0,0.75536,1189.66,1105.79,83.87,7.05,High (ρ≥0.6)
Poisson,1.0,1.0,0.7597,1218.1,1234.74,16.64,1.37,High (ρ≥0.6)
Poisson,1.0,1.0,0.77764,1347.47,1170.62,176.85,13.12,High (ρ≥0.6)
Poisson,1.0,1.0,0.78203,1382.4,1530.69,148.28,10.73,High (ρ≥0.6)
Poisson,1.0,1.0,0.78251,1386.31,2347.93,961.62,69.37,High (ρ≥0.6)
Poisson,1.0,1.0,0.78616,1416.5,1907.59,491.09,34.67,High (ρ≥0.6)
Poisson,1.0,1.0,0.78863,1437.58,1445.99,8.41,0.59,High (ρ≥0.6)
Poisson,1.0,1.0,0.78957,1445.69,1609.06,163.37,11.3,High (ρ≥0.6)
Poisson,1.0,1.0,0.7929,1475.13,968.87,506.26,34.32,High (ρ≥0.6)
Poisson,1.0,1.0,0.79493,1493.53,1736.77,243.23,16.29,High (ρ≥0.6)
Poisson,1.0,1.0,0.7983,1525.0,1850.56,325.56,21.35,High (ρ≥0.6)
Poisson,1.0,1.0,0.79994,1540.65,1200.2,340.45,22.1,High (ρ≥0.6)
Poisson,1.0,1.0,0.80318,1572.33,1451.88,120.45,7.66,High (ρ≥0.6)
Poisson,1.0,1.0,0.80515,1592.1,1104.2,487.9,30.65,High (ρ≥0.6)
Poisson,1.0,1.0,0.81283,1673.26,1275.79,397.48,23.75,High (ρ≥0.6)
Poisson,1.0,1.0,0.8142,1688.47,1317.41,371.07,21.98,High (ρ≥0.6)
Poisson,1.0,1.0,0.8195,1749.37,1737.24,12.13,0.69,High (ρ≥0.6)
Poisson,1.0,1.0,0.82069,1763.44,1674.44,89.0,5.05,High (ρ≥0.6)
Poisson,1.0,1.0,0.82182,1777.1,1551.27,225.83,12.71,High (ρ≥0.6)
Poisson,1.0,1.0,0.82315,1793.35,1969.27,175.92,9.81,High (ρ≥0.6)
Poisson,1.0,1.0,0.8249,1815.18,1791.62,23.57,1.3,High (ρ≥0.6)
Poisson,1.0,1.0,0.83067,1890.17,2321.49,431.32,22.82,High (ρ≥0.6)
Poisson,1.0,1.0,0.83091,1893.41,1333.25,560.16,29.58,High (ρ≥0.6)
Poisson,1.0,1.0,0.83706,1979.37,1093.4,885.96,44.76,High (ρ≥0.6)
Poisson,1.0,1.0,0.84044,2029.53,1659.88,369.64,18.21,High (ρ≥0.6)
Poisson,1.0,1.0,0.84086,2035.88,1893.32,142.56,7.0,High (ρ≥0.6)
Poisson,1.0,1.0,0.84168,2048.34,2256.78,208.44,10.18,High (ρ≥0.6)
Poisson,1.0,1.0,0.84429,2089.23,1567.79,521.45,24.96,High (ρ≥0.6)
Poisson,1.0,1.0,0.84465,2094.9,2135.45,40.55,1.94,High (ρ≥0.6)
Poisson,1.0,1.0,0.84972,2178.53,1754.59,423.94,19.46,High (ρ≥0.6)
Poisson,1.0,1.0,0.8514,2207.65,2574.58,366.93,16.62,High (ρ≥0.6)
Poisson,1.0,1.0,0.85261,2228.77,1769.23,459.54,20.62,High (ρ≥0.6)
Poisson,1.0,1.0,0.85438,2260.55,2419.1,158.55,7.01,High (ρ≥0.6)
Bursty,2.5,1.5,0.15412,140.4,240.28,99.88,71.14,Low (ρ<0.3)
Bursty,2.5,1.5,0.15929,146.01,261.45,115.45,79.07,Low (ρ<0.3)
Bursty,2.5,1.5,0.16162,148.55,264.39,115.84,77.98,Low (ρ<0.3)
Bursty,2.5,1.5,0.1779,166.75,336.55,169.8,101.83,Low (ρ<0.3)
Bursty,2.5,1.5,0.1812,170.53,271.31,100.78,59.1,Low (ρ<0.3)
Bursty,2.5,1.5,0.1812,170.54,260.53,89.99,52.77,Low (ρ<0.3)
Bursty,2.5,1.5,0.18636,176.51,273.07,96.56,54.71,Low (ρ<0.3)
Bursty,2.5,1.5,0.18668,176.88,329.81,152.94,86.47,Low (ρ<0.3)
Bursty,2.5,1.5,0.18993,180.68,271.95,91.27,50.52,Low (ρ<0.3)
Bursty,2.5,1.5,0.19247,183.67,340.55,156.89,85.42,Low (ρ<0.3)
Bursty,2.5,1.5,0.20825,202.68,293.21,90.52,44.66,Low (ρ<0.3)
Bursty,2.5,1.5,0.20843,202.91,299.6,96.69,47.65,Low (ρ<0.3)
Bursty,2.5,1.5,0.21085,205.89,348.09,142.2,69.06,Low (ρ<0.3)
Bursty,2.5,1.5,0.22327,221.51,322.77,101.26,45.71,Low (ρ<0.3)
Bursty,2.5,1.5,0.22491,223.6,275.37,51.76,23.15,Low (ρ<0.3)
Bursty,2.5,1.5,0.23639,238.55,396.19,157.63,66.08,Low (ρ<0.3)
Bursty,2.5,1.5,0.24121,244.97,403.01,158.04,64.51,Low (ρ<0.3)
Bursty,2.5,1.5,0.25285,260.78,431.81,171.03,65.58,Low (ρ<0.3)
Bursty,2.5,1.5,0.25495,263.69,349.08,85.38,32.38,Low (ρ<0.3)
Bursty,2.5,1.5,0.26848,282.83,347.36,64.53,22.82,Low (ρ<0.3)
Bursty,2.5,1.5,0.26973,284.63,360.45,75.83,26.64,Low (ρ<0.3)
Bursty,2.5,1.5,0.27022,285.34,348.69,63.35,22.2,Low (ρ<0.3)
Bursty,2.5,1.5,0.27237,288.46,374.54,86.08,29.84,Low (ρ<0.3)
Bursty,2.5,1.5,0.29161,317.23,467.71,150.48,47.44,Low (ρ<0.3)
Bursty,2.5,1.5,0.2964,324.62,458.64,134.02,41.29,Low (ρ<0.3)
Bursty,2.5,1.5,0.30704,341.43,467.07,125.63,36.8,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.31649,356.81,458.03,101.22,28.37,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.32324,368.05,393.19,25.13,6.83,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.34014,397.23,496.55,99.32,25.0,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.34398,404.06,551.84,147.78,36.57,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.3586,430.83,446.37,15.55,3.61,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.36131,435.93,530.13,94.2,21.61,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.36626,445.36,500.27,54.91,12.33,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.37212,456.71,501.19,44.48,9.74,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.37442,461.21,464.78,3.57,0.77,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.38051,473.33,560.65,87.33,18.45,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.39263,498.15,617.98,119.83,24.06,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.39621,505.68,504.93,0.75,0.15,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.399,511.59,586.53,74.95,14.65,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.41469,545.98,550.6,4.62,0.85,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.42615,572.27,622.01,49.75,8.69,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.42793,576.43,588.52,12.09,2.1,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.43133,584.5,682.28,97.78,16.73,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.46004,656.54,691.18,34.64,5.28,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.47379,693.85,849.07,155.23,22.37,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.48002,711.37,703.96,7.41,1.04,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.48668,730.6,694.04,36.56,5.0,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.49947,768.98,734.89,34.1,4.43,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.50189,776.44,724.33,52.1,6.71,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.51563,820.33,1144.52,324.19,39.52,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.52106,838.36,806.09,32.28,3.85,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.54378,918.51,911.33,7.18,0.78,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.5521,949.87,890.52,59.35,6.25,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.57371,1037.08,1285.66,248.58,23.97,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.57733,1052.57,849.29,203.28,19.31,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.58047,1066.21,916.01,150.2,14.09,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.58487,1085.71,982.01,103.7,9.55,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.58722,1096.26,1177.14,80.88,7.38,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.59141,1115.39,1044.8,70.58,6.33,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.5924,1119.96,1076.34,43.62,3.89,Medium (0.3≤ρ<0.6)
Bursty,2.5,1.5,0.60099,1160.7,1150.12,10.58,0.91,High (ρ≥0.6)
Bursty,2.5,1.5,0.61144,1212.62,1441.18,228.56,18.85,High (ρ≥0.6)
Bursty,2.5,1.5,0.61333,1222.3,949.82,272.49,22.29,High (ρ≥0.6)
Bursty,2.5,1.5,0.61342,1222.77,1160.14,62.63,5.12,High (ρ≥0.6)
Bursty,2.5,1.5,0.62086,1261.88,1675.25,413.37,32.76,High (ρ≥0.6)
Bursty,2.5,1.5,0.62537,1286.34,1523.27,236.93,18.42,High (ρ≥0.6)
Bursty,2.5,1.5,0.63577,1345.09,1265.76,79.33,5.9,High (ρ≥0.6)
Bursty,2.5,1.5,0.64884,1423.86,1896.78,472.92,33.21,High (ρ≥0.6)
Bursty,2.5,1.5,0.65057,1434.69,1520.41,85.71,5.97,High (ρ≥0.6)
Bursty,2.5,1.5,0.65598,1469.37,1318.42,150.94,10.27,High (ρ≥0.6)
Bursty,2.5,1.5,0.65853,1486.13,1331.94,154.19,10.38,High (ρ≥0.6)
Bursty,2.5,1.5,0.65956,1492.95,1405.06,87.89,5.89,High (ρ≥0.6)
Bursty,2.5,1.5,0.66422,1524.32,3015.52,1491.19,97.83,High (ρ≥0.6)
Bursty,2.5,1.5,0.66452,1526.43,1263.76,262.67,17.21,High (ρ≥0.6)
Bursty,2.5,1.5,0.66996,1564.28,1653.05,88.76,5.67,High (ρ≥0.6)
Bursty,2.5,1.5,0.685,1675.74,1578.58,97.16,5.8,High (ρ≥0.6)
Bursty,2.5,1.5,0.69769,1778.4,2195.9,417.5,23.48,High (ρ≥0.6)
Bursty,2.5,1.5,0.71219,1906.89,1588.53,318.37,16.7,High (ρ≥0.6)
Bursty,2.5,1.5,0.71476,1930.99,1704.32,226.67,11.74,High (ρ≥0.6)
Bursty,2.5,1.5,0.72723,2054.54,2162.71,108.17,5.27,High (ρ≥0.6)
Bursty,2.5,1.5,0.73122,2096.44,1845.73,250.72,11.96,High (ρ≥0.6)
Bursty,2.5,1.5,0.73133,2097.59,1524.41,573.18,27.33,High (ρ≥0.6)
Bursty,2.5,1.5,0.73883,2179.95,2140.5,39.46,1.81,High (ρ≥0.6)
Bursty,2.5,1.5,0.739,2181.94,1755.08,426.86,19.56,High (ρ≥0.6)
Bursty,2.5,1.5,0.7444,2244.21,2033.3,210.91,9.4,High (ρ≥0.6)
Bursty,2.5,1.5,0.74678,2272.64,1600.01,672.63,29.6,High (ρ≥0.6)
Bursty,2.5,1.5,0.74917,2301.63,2312.79,11.16,0.48,High (ρ≥0.6)
Bursty,2.5,1.5,0.75536,2379.32,2284.49,94.83,3.99,High (ρ≥0.6)
Bursty,2.5,1.5,0.7597,2436.2,3145.75,709.55,29.13,High (ρ≥0.6)
Bursty,2.5,1.5,0.77764,2694.95,2834.23,139.28,5.17,High (ρ≥0.6)
Bursty,2.5,1.5,0.78203,2764.81,3075.11,310.3,11.22,High (ρ≥0.6)
Bursty,2.5,1.5,0.78251,2772.62,2339.24,433.38,15.63,High (ρ≥0.6)
Bursty,2.5,1.5,0.78616,2833.0,2263.22,569.79,20.11,High (ρ≥0.6)
Bursty,2.5,1.5,0.78863,2875.16,2094.93,780.23,27.14,High (ρ≥0.6)
Bursty,2.5,1.5,0.78957,2891.38,3446.6,555.22,19.2,High (ρ≥0.6)
Bursty,2.5,1.5,0.7929,2950.27,2292.32,657.94,22.3,High (ρ≥0.6)
Bursty,2.5,1.5,0.79493,2987.06,2789.57,197.49,6.61,High (ρ≥0.6)
Bursty,2.5,1.5,0.7983,3050.0,2286.59,763.41,25.03,High (ρ≥0.6)
Bursty,2.5,1.5,0.79994,3081.31,2596.75,484.56,15.73,High (ρ≥0.6)
Bursty,2.5,1.5,0.80318,3144.65,2591.92,552.74,17.58,High (ρ≥0.6)
Bursty,2.5,1.5,0.80515,3184.21,2391.26,792.95,24.9,High (ρ≥0.6)
Bursty,2.5,1.5,0.81283,3346.53,2946.36,400.17,11.96,High (ρ≥0.6)
Bursty,2.5,1.5,0.8142,3376.94,3878.64,501.7,14.86,High (ρ≥0.6)
Bursty,2.5,1.5,0.8195,3498.74,3051.04,447.7,12.8,High (ρ≥0.6)
Bursty,2.5,1.5,0.82069,3526.88,5452.61,1925.73,54.6,High (ρ≥0.6)
Bursty,2.5,1.5,0.82182,3554.21,2594.48,959.72,27.0,High (ρ≥0.6)
Bursty,2.5,1.5,0.82315,3586.7,4226.76,640.06,17.85,High (ρ≥0.6)
Bursty,2.5,1.5,0.8249,3630.37,2660.87,969.5,26.71,High (ρ≥0.6)
Bursty,2.5,1.5,0.83067,3780.34,2612.19,1168.15,30.9,High (ρ≥0.6)
Bursty,2.5,1.5,0.83091,3786.81,3211.14,575.67,15.2,High (ρ≥0.6)
Bursty,2.5,1.5,0.83706,3958.74,2271.75,1686.98,42.61,High (ρ≥0.6)
Bursty,2.5,1.5,0.84044,4059.06,3176.59,882.47,21.74,High (ρ≥0.6)
Bursty,2.5,1.5,0.84086,4071.76,4424.52,352.76,8.66,High (ρ≥0.6)
Bursty,2.5,1.5,0.84168,4096.68,2502.06,1594.62,38.92,High (ρ≥0.6)
Bursty,2.5,1.5,0.84429,4178.46,2978.53,1199.93,28.72,High (ρ≥0.6)
Bursty,2.5,1.5,0.84465,4189.8,6265.47,2075.67,49.54,High (ρ≥0.6)
Bursty,2.5,1.5,0.84972,4357.05,2725.23,1631.82,37.45,High (ρ≥0.6)
Bursty,2.5,1.5,0.8514,4415.3,2173.41,2241.89,50.78,High (ρ≥0.6)
Bursty,2.5,1.5,0.85261,4457.54,4685.44,227.9,5.11,High (ρ≥0.6)
Bursty,2.5,1.5,0.85438,4521.1,4436.91,84.2,1.86,High (ρ≥0.6)
On-Off,4.0,1.0,0.15412,175.5,121.86,53.64,30.56,Low (ρ<0.3)
On-Off,4.0,1.0,0.15929,182.51,78.97,103.54,56.73,Low (ρ<0.3)
On-Off,4.0,1.0,0.16162,185.69,114.62,71.07,38.27,Low (ρ<0.3)
On-Off,4.0,1.0,0.1779,208.44,123.31,85.14,40.84,Low (ρ<0.3)
On-Off,4.0,1.0,0.1812,213.17,143.0,70.16,32.91,Low (ρ<0.3)
On-Off,4.0,1.0,0.1812,213.17,137.83,75.34,35.34,Low (ρ<0.3)
On-Off,4.0,1.0,0.18636,220.63,159.6,61.04,27.66,Low (ρ<0.3)
On-Off,4.0,1.0,0.18668,221.09,161.44,59.66,26.98,Low (ρ<0.3)
On-Off,4.0,1.0,0.18993,225.85,148.9,76.95,34.07,Low (ρ<0.3)
On-Off,4.0,1.0,0.19247,229.58,147.32,82.26,35.83,Low (ρ<0.3)
On-Off,4.0,1.0,0.20825,253.35,155.9,97.45,38.46,Low (ρ<0.3)
On-Off,4.0,1.0,0.20843,253.63,162.8,90.84,35.81,Low (ρ<0.3)
On-Off,4.0,1.0,0.21085,257.36,178.5,78.87,30.65,Low (ρ<0.3)
On-Off,4.0,1.0,0.22327,276.89,193.44,83.45,30.14,Low (ρ<0.3)
On-Off,4.0,1.0,0.22491,279.51,169.18,110.33,39.47,Low (ρ<0.3)
On-Off,4.0,1.0,0.23639,298.19,229.77,68.42,22.95,Low (ρ<0.3)
On-Off,4.0,1.0,0.24121,306.21,174.91,131.3,42.88,Low (ρ<0.3)
On-Off,4.0,1.0,0.25285,325.98,231.71,94.27,28.92,Low (ρ<0.3)
On-Off,4.0,1.0,0.25495,329.62,235.29,94.33,28.62,Low (ρ<0.3)
On-Off,4.0,1.0,0.26848,353.53,239.23,114.31,32.33,Low (ρ<0.3)
On-Off,4.0,1.0,0.26973,355.79,234.54,121.24,34.08,Low (ρ<0.3)
On-Off,4.0,1.0,0.27022,356.67,246.97,109.71,30.76,Low (ρ<0.3)
On-Off,4.0,1.0,0.27237,360.57,229.9,130.67,36.24,Low (ρ<0.3)
On-Off,4.0,1.0,0.29161,396.53,283.78,112.75,28.43,Low (ρ<0.3)
On-Off,4.0,1.0,0.2964,405.78,234.42,171.36,42.23,Low (ρ<0.3)
On-Off,4.0,1.0,0.30704,426.79,256.02,170.77,40.01,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.31649,446.02,317.25,128.77,28.87,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.32324,460.07,307.21,152.86,33.22,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.34014,496.54,305.75,190.79,38.42,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.34398,505.08,392.32,112.76,22.33,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.3586,538.54,363.24,175.3,32.55,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.36131,544.91,409.53,135.38,24.84,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.36626,556.7,375.29,181.42,32.59,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.37212,570.89,339.82,231.06,40.47,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.37442,576.52,359.41,217.1,37.66,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.38051,591.66,459.48,132.18,22.34,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.39263,622.69,444.42,178.27,28.63,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.39621,632.1,477.21,154.88,24.5,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.399,639.48,530.6,108.88,17.03,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.41469,682.47,422.6,259.87,38.08,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.42615,715.33,422.94,292.39,40.88,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.42793,720.54,546.18,174.36,24.2,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.43133,730.62,457.31,273.32,37.41,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.46004,820.67,556.56,264.11,32.18,Medium (0.3≤ρ<0.6)
On-Off,4.0,1.0,0.47379,867.31,616.1,251.21,28.96,Medium (0.3≤ρ<0.6)
