TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server3_test_0_35,0,req_3222406,ChatGPT
task_Server3_test_0_35,1,req_2070074,ChatGPT
task_Server3_test_0_35,2,req_5072649,GPT-4
task_Server3_test_0_35,3,req_2909137,ChatGPT
task_Server3_test_0_35,4,req_2117652,GPT-4v
task_Server3_test_0_36,0,req_3507117,ChatGPT
task_Server3_test_0_36,1,req_5217934,GPT-4
task_Server3_test_0_36,2,req_3368886,GPT-4v
task_Server3_test_0_36,3,req_3501576,GPT-4v
task_Server3_test_0_36,4,req_1730819,GPT-4v
task_Server3_test_0_37,0,req_1704523,ChatGPT
task_Server3_test_0_37,1,req_2643058,GPT-4
task_Server3_test_0_37,2,req_1865097,ChatGPT
task_Server3_test_0_37,3,req_3328542,GPT-4v
task_Server3_test_0_37,4,req_3236080,GPT-4v
task_Server3_test_0_38,0,req_4880111,ChatGPT
task_Server3_test_0_38,1,req_3288146,ChatGPT
task_Server3_test_0_38,2,req_5071384,GPT-4
task_Server3_test_0_38,3,req_4527003,ChatGPT
task_Server3_test_0_38,4,req_2166818,ChatGPT
task_Server3_test_0_39,0,req_1452100,ChatGPT
task_Server3_test_0_39,1,req_3091266,ChatGPT
task_Server3_test_0_39,2,req_2769804,GPT-4
task_Server3_test_0_39,3,req_3517118,ChatGPT
task_Server3_test_0_39,4,req_2627619,ChatGPT
task_Server3_test_0_40,0,req_5217696,GPT-4
task_Server3_test_0_40,1,req_4698923,GPT-4v
task_Server3_test_0_40,2,req_3155101,ChatGPT
task_Server3_test_0_40,3,req_4468323,GPT-4v
task_Server3_test_0_40,4,req_3763031,ChatGPT
task_Server3_test_0_41,0,req_5233688,ChatGPT
task_Server3_test_0_41,1,req_2030143,GPT-4
task_Server3_test_0_41,2,req_2060265,ChatGPT
task_Server3_test_0_41,3,req_3809554,GPT-4v
task_Server3_test_0_41,4,req_4479723,GPT-4v
task_Server3_test_0_42,0,req_4124777,ChatGPT
task_Server3_test_0_42,1,req_3955367,ChatGPT
task_Server3_test_0_42,2,req_4186909,ChatGPT
task_Server3_test_0_42,3,req_5073415,GPT-4
task_Server3_test_0_42,4,req_4813334,ChatGPT
task_Server3_test_0_43,0,req_2365567,ChatGPT
task_Server3_test_0_43,1,req_4039062,ChatGPT
task_Server3_test_0_43,2,req_1533888,ChatGPT
task_Server3_test_0_43,3,req_1974708,ChatGPT
task_Server3_test_0_43,4,req_4947188,GPT-4
task_Server3_test_0_44,0,req_3011667,ChatGPT
task_Server3_test_0_44,1,req_3329705,ChatGPT
task_Server3_test_0_44,2,req_1564001,ChatGPT
task_Server3_test_0_44,3,req_1946518,ChatGPT
task_Server3_test_0_44,4,req_3380961,GPT-4
task_Server3_test_0_45,0,req_3887456,ChatGPT
task_Server3_test_0_45,1,req_1676918,ChatGPT
task_Server3_test_0_45,2,req_4304676,GPT-4
task_Server3_test_0_45,3,req_5003167,GPT-4v
task_Server3_test_0_45,4,req_3693301,GPT-4v
task_Server3_test_0_46,0,req_3334985,ChatGPT
task_Server3_test_0_46,1,req_4622469,ChatGPT
task_Server3_test_0_46,2,req_1442761,GPT-4
task_Server3_test_0_46,3,req_2428488,GPT-4v
task_Server3_test_0_46,4,req_4941102,ChatGPT
task_Server3_test_0_47,0,req_1901880,GPT-4
task_Server3_test_0_47,1,req_2897864,ChatGPT
task_Server3_test_0_47,2,req_3463860,ChatGPT
task_Server3_test_0_47,3,req_5097535,ChatGPT
task_Server3_test_0_47,4,req_4955172,ChatGPT
task_Server3_test_0_48,0,req_3743466,ChatGPT
task_Server3_test_0_48,1,req_2171718,ChatGPT
task_Server3_test_0_48,2,req_2542524,ChatGPT
task_Server3_test_0_48,3,req_3280358,ChatGPT
task_Server3_test_0_48,4,req_1646082,GPT-4
task_Server3_test_0_49,0,req_2167488,ChatGPT
task_Server3_test_0_49,1,req_5285438,ChatGPT
task_Server3_test_0_49,2,req_3408178,ChatGPT
task_Server3_test_0_49,3,req_5155632,ChatGPT
task_Server3_test_0_49,4,req_4970195,GPT-4
task_Server3_test_0_50,0,req_5176013,ChatGPT
task_Server3_test_0_50,1,req_1452009,ChatGPT
task_Server3_test_0_50,2,req_5171660,ChatGPT
task_Server3_test_0_50,3,req_2196454,ChatGPT
task_Server3_test_0_50,4,req_2014125,GPT-4
task_Server3_test_0_51,0,req_2741132,ChatGPT
task_Server3_test_0_51,1,req_3752253,ChatGPT
task_Server3_test_0_51,2,req_4234105,ChatGPT
task_Server3_test_0_51,3,req_5270073,GPT-4
task_Server3_test_0_51,4,req_2221467,GPT-4v
task_Server3_test_0_52,0,req_1665508,ChatGPT
task_Server3_test_0_52,1,req_4969743,GPT-4
task_Server3_test_0_52,2,req_3197852,GPT-4v
task_Server3_test_0_52,3,req_3358122,ChatGPT
task_Server3_test_0_52,4,req_3273305,GPT-4v
task_Server3_test_0_53,0,req_4029695,ChatGPT
task_Server3_test_0_53,1,req_1928330,ChatGPT
task_Server3_test_0_53,2,req_3402741,ChatGPT
task_Server3_test_0_53,3,req_5071337,ChatGPT
task_Server3_test_0_53,4,req_4854034,GPT-4
task_Server3_test_0_54,0,req_1795804,ChatGPT
task_Server3_test_0_54,1,req_3675421,GPT-4
task_Server3_test_0_54,2,req_3149728,ChatGPT
task_Server3_test_0_54,3,req_5085000,GPT-4v
task_Server3_test_0_54,4,req_2105582,ChatGPT
task_Server3_test_0_55,0,req_3984062,ChatGPT
task_Server3_test_0_55,1,req_4386037,ChatGPT
task_Server3_test_0_55,2,req_2888688,ChatGPT
task_Server3_test_0_55,3,req_4423584,GPT-4
task_Server3_test_0_55,4,req_3059561,ChatGPT
task_Server3_test_0_56,0,req_4417340,ChatGPT
task_Server3_test_0_56,1,req_3742139,ChatGPT
task_Server3_test_0_56,2,req_4788703,ChatGPT
task_Server3_test_0_56,3,req_3455841,ChatGPT
task_Server3_test_0_56,4,req_1919646,GPT-4
task_Server3_test_0_57,0,req_3546751,ChatGPT
task_Server3_test_0_57,1,req_4554349,ChatGPT
task_Server3_test_0_57,2,req_2401047,ChatGPT
task_Server3_test_0_57,3,req_5233194,GPT-4
task_Server3_test_0_57,4,req_3959695,GPT-4v
task_Server3_test_0_58,0,req_3242960,ChatGPT
task_Server3_test_0_58,1,req_4839037,GPT-4
task_Server3_test_0_58,2,req_3763458,ChatGPT
task_Server3_test_0_58,3,req_4985190,GPT-4v
task_Server3_test_0_58,4,req_3001835,ChatGPT
task_Server3_test_0_59,0,req_5122357,ChatGPT
task_Server3_test_0_59,1,req_3475161,ChatGPT
task_Server3_test_0_59,2,req_2552283,ChatGPT
task_Server3_test_0_59,3,req_2221874,ChatGPT
task_Server3_test_0_59,4,req_5070816,GPT-4
task_Server3_test_0_60,0,req_3534013,ChatGPT
task_Server3_test_0_60,1,req_4694179,ChatGPT
task_Server3_test_0_60,2,req_4320575,GPT-4
task_Server3_test_0_60,3,req_4616082,ChatGPT
task_Server3_test_0_60,4,req_2140490,ChatGPT
task_Server3_test_0_61,0,req_4320241,GPT-4
task_Server3_test_0_61,1,req_2357661,ChatGPT
task_Server3_test_0_61,2,req_1526495,ChatGPT
task_Server3_test_0_61,3,req_2446904,GPT-4v
task_Server3_test_0_61,4,req_3151436,ChatGPT
task_Server3_test_0_62,0,req_3807971,ChatGPT
task_Server3_test_0_62,1,req_1516959,ChatGPT
task_Server3_test_0_62,2,req_5004623,ChatGPT
task_Server3_test_0_62,3,req_5271997,GPT-4
task_Server3_test_0_62,4,req_5285600,GPT-4v
task_Server3_test_0_63,0,req_2787192,GPT-4
task_Server3_test_0_63,1,req_1873353,GPT-4v
task_Server3_test_0_63,2,req_2050988,GPT-4v
task_Server3_test_0_63,3,req_2974944,GPT-4v
task_Server3_test_0_63,4,req_3112467,GPT-4v
task_Server3_test_0_64,0,req_2100647,ChatGPT
task_Server3_test_0_64,1,req_3176261,ChatGPT
task_Server3_test_0_64,2,req_4966093,ChatGPT
task_Server3_test_0_64,3,req_2267375,ChatGPT
task_Server3_test_0_64,4,req_5230926,GPT-4
task_Server3_test_0_65,0,req_5237608,ChatGPT
task_Server3_test_0_65,1,req_3364853,ChatGPT
task_Server3_test_0_65,2,req_2039063,GPT-4
task_Server3_test_0_65,3,req_4606359,GPT-4v
task_Server3_test_0_65,4,req_2948229,ChatGPT
task_Server3_test_0_66,0,req_2522580,ChatGPT
task_Server3_test_0_66,1,req_1792018,ChatGPT
task_Server3_test_0_66,2,req_3562368,ChatGPT
task_Server3_test_0_66,3,req_2706689,ChatGPT
task_Server3_test_0_66,4,req_2115685,GPT-4
task_Server3_test_0_67,0,req_4129104,ChatGPT
task_Server3_test_0_67,1,req_3009580,ChatGPT
task_Server3_test_0_67,2,req_4985704,GPT-4
task_Server3_test_0_67,3,req_3029337,ChatGPT
task_Server3_test_0_67,4,req_4392373,GPT-4v
task_Server3_test_0_68,0,req_4955762,ChatGPT
task_Server3_test_0_68,1,req_4202748,ChatGPT
task_Server3_test_0_68,2,req_3753858,GPT-4
task_Server3_test_0_68,3,req_4153742,ChatGPT
task_Server3_test_0_68,4,req_1719014,ChatGPT
task_Server3_test_0_69,0,req_3293898,ChatGPT
task_Server3_test_0_69,1,req_4445716,ChatGPT
task_Server3_test_0_69,2,req_3405303,ChatGPT
task_Server3_test_0_69,3,req_1970509,ChatGPT
task_Server3_test_0_69,4,req_5276863,GPT-4
task_Server3_test_0_70,0,req_3821199,ChatGPT
task_Server3_test_0_70,1,req_2429063,ChatGPT
task_Server3_test_0_70,2,req_4624444,ChatGPT
task_Server3_test_0_70,3,req_5278738,GPT-4
task_Server3_test_0_70,4,req_4090783,ChatGPT
task_Server3_test_0_71,0,req_1901980,GPT-4
task_Server3_test_0_71,1,req_2669735,ChatGPT
task_Server3_test_0_71,2,req_3556416,ChatGPT
task_Server3_test_0_71,3,req_3463578,GPT-4v
task_Server3_test_0_71,4,req_2233241,GPT-4v
task_Server3_test_0_72,0,req_4939593,ChatGPT
task_Server3_test_0_72,1,req_2148117,GPT-4
task_Server3_test_0_72,2,req_4000383,GPT-4v
task_Server3_test_0_72,3,req_4495228,ChatGPT
task_Server3_test_0_72,4,req_3133231,GPT-4v
task_Server3_test_0_73,0,req_4802563,ChatGPT
task_Server3_test_0_73,1,req_4812577,ChatGPT
task_Server3_test_0_73,2,req_5189405,GPT-4
task_Server3_test_0_73,3,req_3461594,ChatGPT
task_Server3_test_0_73,4,req_1550775,GPT-4v
task_Server3_test_0_74,0,req_1931619,GPT-4
task_Server3_test_0_74,1,req_2854944,ChatGPT
task_Server3_test_0_74,2,req_1871124,ChatGPT
task_Server3_test_0_74,3,req_3463018,GPT-4v
task_Server3_test_0_74,4,req_3528480,GPT-4v
task_Server3_test_0_75,0,req_4295552,GPT-4
task_Server3_test_0_75,1,req_2090580,GPT-4v
task_Server3_test_0_75,2,req_1713806,GPT-4v
task_Server3_test_0_75,3,req_3973924,GPT-4v
task_Server3_test_0_75,4,req_4438370,GPT-4v
task_Server3_test_0_76,0,req_1482978,ChatGPT
task_Server3_test_0_76,1,req_5094842,ChatGPT
task_Server3_test_0_76,2,req_3839253,ChatGPT
task_Server3_test_0_76,3,req_4342862,GPT-4
task_Server3_test_0_76,4,req_1879281,ChatGPT
task_Server3_test_0_77,0,req_4780728,ChatGPT
task_Server3_test_0_77,1,req_4521800,ChatGPT
task_Server3_test_0_77,2,req_2686807,GPT-4
task_Server3_test_0_77,3,req_4850158,ChatGPT
task_Server3_test_0_77,4,req_1962972,GPT-4v
task_Server3_test_0_78,0,req_3167698,ChatGPT
task_Server3_test_0_78,1,req_5188878,ChatGPT
task_Server3_test_0_78,2,req_3901296,ChatGPT
task_Server3_test_0_78,3,req_3703357,GPT-4
task_Server3_test_0_78,4,req_2548601,GPT-4v
task_Server3_test_0_79,0,req_3652342,GPT-4
task_Server3_test_0_79,1,req_4329151,GPT-4v
task_Server3_test_0_79,2,req_1580506,ChatGPT
task_Server3_test_0_79,3,req_4503745,ChatGPT
task_Server3_test_0_79,4,req_1972723,GPT-4v
task_Server3_test_0_80,0,req_2961612,ChatGPT
task_Server3_test_0_80,1,req_1766745,ChatGPT
task_Server3_test_0_80,2,req_4032749,ChatGPT
task_Server3_test_0_80,3,req_2398555,GPT-4
task_Server3_test_0_80,4,req_5230047,ChatGPT
task_Server3_test_0_81,0,req_1485041,ChatGPT
task_Server3_test_0_81,1,req_2892823,ChatGPT
task_Server3_test_0_81,2,req_3030215,ChatGPT
task_Server3_test_0_81,3,req_1990039,GPT-4
task_Server3_test_0_81,4,req_2999174,GPT-4v
task_Server3_test_0_82,0,req_1838217,ChatGPT
task_Server3_test_0_82,1,req_2262652,ChatGPT
task_Server3_test_0_82,2,req_3768265,ChatGPT
task_Server3_test_0_82,3,req_1888296,ChatGPT
task_Server3_test_0_82,4,req_2686501,GPT-4
task_Server3_test_0_83,0,req_3968649,ChatGPT
task_Server3_test_0_83,1,req_4977690,ChatGPT
task_Server3_test_0_83,2,req_4752672,ChatGPT
task_Server3_test_0_83,3,req_4189360,ChatGPT
task_Server3_test_0_83,4,req_2067113,GPT-4
task_Server3_test_0_84,0,req_4749041,ChatGPT
task_Server3_test_0_84,1,req_4408051,ChatGPT
task_Server3_test_0_84,2,req_3275827,GPT-4
task_Server3_test_0_84,3,req_4528896,ChatGPT
task_Server3_test_0_84,4,req_4765516,GPT-4v
task_Server3_test_0_85,0,req_4172872,ChatGPT
task_Server3_test_0_85,1,req_2017757,GPT-4
task_Server3_test_0_85,2,req_3541858,GPT-4v
task_Server3_test_0_85,3,req_4039678,GPT-4v
task_Server3_test_0_85,4,req_3728812,ChatGPT
task_Server3_test_0_86,0,req_2555515,ChatGPT
task_Server3_test_0_86,1,req_4203491,ChatGPT
task_Server3_test_0_86,2,req_3106397,ChatGPT
task_Server3_test_0_86,3,req_1827007,ChatGPT
task_Server3_test_0_86,4,req_3638073,GPT-4
task_Server3_test_0_87,0,req_2152556,GPT-4
task_Server3_test_0_87,1,req_2762476,GPT-4v
task_Server3_test_0_87,2,req_5277848,ChatGPT
task_Server3_test_0_87,3,req_2630673,GPT-4v
task_Server3_test_0_87,4,req_4528973,GPT-4v
task_Server3_test_0_88,0,req_1885986,ChatGPT
task_Server3_test_0_88,1,req_4947160,GPT-4
task_Server3_test_0_88,2,req_3727917,ChatGPT
task_Server3_test_0_88,3,req_1658514,ChatGPT
task_Server3_test_0_88,4,req_3116716,GPT-4v
task_Server3_test_0_89,0,req_3411166,ChatGPT
task_Server3_test_0_89,1,req_5226402,ChatGPT
task_Server3_test_0_89,2,req_5265207,GPT-4
task_Server3_test_0_89,3,req_4053638,ChatGPT
task_Server3_test_0_89,4,req_4796036,GPT-4v
task_Server3_test_0_90,0,req_3039669,ChatGPT
task_Server3_test_0_90,1,req_2296974,ChatGPT
task_Server3_test_0_90,2,req_3368374,ChatGPT
task_Server3_test_0_90,3,req_4988159,GPT-4
task_Server3_test_0_90,4,req_1676983,ChatGPT
task_Server3_test_0_91,0,req_1438159,ChatGPT
task_Server3_test_0_91,1,req_2790760,ChatGPT
task_Server3_test_0_91,2,req_4913551,ChatGPT
task_Server3_test_0_91,3,req_2324442,ChatGPT
task_Server3_test_0_91,4,req_2060153,GPT-4
task_Server3_test_0_92,0,req_2699835,GPT-4
task_Server3_test_0_92,1,req_2063792,GPT-4v
task_Server3_test_0_92,2,req_2593527,GPT-4v
task_Server3_test_0_92,3,req_3523703,ChatGPT
task_Server3_test_0_92,4,req_3739145,ChatGPT
task_Server3_test_0_93,0,req_4708968,ChatGPT
task_Server3_test_0_93,1,req_1961713,GPT-4
task_Server3_test_0_93,2,req_2557169,GPT-4v
task_Server3_test_0_93,3,req_4386264,GPT-4v
task_Server3_test_0_93,4,req_1590197,GPT-4v
task_Server3_test_0_94,0,req_2511781,ChatGPT
task_Server3_test_0_94,1,req_5158669,ChatGPT
task_Server3_test_0_94,2,req_2350675,GPT-4
task_Server3_test_0_94,3,req_4404651,GPT-4v
task_Server3_test_0_94,4,req_3500973,ChatGPT
task_Server3_test_0_95,0,req_4017973,ChatGPT
task_Server3_test_0_95,1,req_1939707,GPT-4
task_Server3_test_0_95,2,req_3033252,ChatGPT
task_Server3_test_0_95,3,req_4321455,ChatGPT
task_Server3_test_0_95,4,req_1888921,ChatGPT
task_Server3_test_0_96,0,req_1988147,ChatGPT
task_Server3_test_0_96,1,req_3896171,GPT-4
task_Server3_test_0_96,2,req_2035673,GPT-4v
task_Server3_test_0_96,3,req_3789624,ChatGPT
task_Server3_test_0_96,4,req_2429315,ChatGPT
task_Server3_test_0_97,0,req_1756955,ChatGPT
task_Server3_test_0_97,1,req_1552643,ChatGPT
task_Server3_test_0_97,2,req_3402084,ChatGPT
task_Server3_test_0_97,3,req_2540161,GPT-4
task_Server3_test_0_97,4,req_4444287,ChatGPT
task_Server3_test_0_98,0,req_3811750,ChatGPT
task_Server3_test_0_98,1,req_3969613,ChatGPT
task_Server3_test_0_98,2,req_5279200,GPT-4
task_Server3_test_0_98,3,req_1986687,ChatGPT
task_Server3_test_0_98,4,req_3705520,GPT-4v
task_Server3_test_0_99,0,req_2257836,ChatGPT
task_Server3_test_0_99,1,req_1998505,ChatGPT
task_Server3_test_0_99,2,req_4724316,ChatGPT
task_Server3_test_0_99,3,req_1898171,GPT-4
task_Server3_test_0_99,4,req_2926900,ChatGPT
task_Server3_test_0_100,0,req_4617246,ChatGPT
task_Server3_test_0_100,1,req_4851702,ChatGPT
task_Server3_test_0_100,2,req_1522014,ChatGPT
task_Server3_test_0_100,3,req_1899652,ChatGPT
task_Server3_test_0_100,4,req_1917763,GPT-4
task_Server3_test_0_101,0,req_1546857,ChatGPT
task_Server3_test_0_101,1,req_2666661,GPT-4
task_Server3_test_0_101,2,req_2346593,ChatGPT
task_Server3_test_0_101,3,req_3250838,GPT-4v
task_Server3_test_0_101,4,req_4576772,ChatGPT
task_Server3_test_0_102,0,req_3219883,ChatGPT
task_Server3_test_0_102,1,req_1957839,ChatGPT
task_Server3_test_0_102,2,req_1937807,GPT-4
task_Server3_test_0_102,3,req_1912333,GPT-4v
task_Server3_test_0_102,4,req_4634975,ChatGPT
task_Server3_test_0_103,0,req_5086664,GPT-4
task_Server3_test_0_103,1,req_4780091,ChatGPT
task_Server3_test_0_103,2,req_4326639,GPT-4v
task_Server3_test_0_103,3,req_2096352,GPT-4v
task_Server3_test_0_103,4,req_1757247,ChatGPT
